problem,optimizer,run_idx,fx_best,site
Armistead,SLSQP,1,-301.9161851799248,ft3
Armistead,SLSQP,2,-301.9161852442761,ft3
Armistead,SLSQP,3,-301.9161846963942,ft3
Armistead,SLSQP,4,-301.91618412811624,ft3
Armistead,SLSQP,5,-301.91618442736313,ft3
Armistead,SLSQP,6,-301.91618510481777,ft3
Armistead,SLSQP,7,-301.9161849749387,ft3
Armistead,SLSQP,8,-301.91618472028375,ft3
Armistead,SLSQP,9,-301.91618461050473,ft3
Armistead,SLSQP,10,-301.91618495613653,ft3
Armistead,COBYLA,1,-301.88658608993364,ft3
Armistead,COBYLA,2,-301.8730629198459,ft3
Armistead,COBYLA,3,-301.8187011637498,ft3
Armistead,COBYLA,4,-301.827302470491,ft3
Armistead,COBYLA,5,-301.69725748172675,ft3
Armistead,COBYLA,6,-301.76792785880207,ft3
Armistead,COBYLA,7,-301.8163430353874,ft3
Armistead,COBYLA,8,-301.85996021618695,ft3
Armistead,COBYLA,9,-301.74997021231445,ft3
Armistead,COBYLA,10,-301.8699325503552,ft3
Armistead,fides,1,-301.9161838404377,ft3
Armistead,fides,2,-301.9161836560878,ft3
Armistead,fides,3,-301.91618367854136,ft3
Armistead,fides,4,-301.9161837359349,ft3
Armistead,fides,5,-301.9161836719975,ft3
Armistead,fides,6,-301.9161838165257,ft3
Armistead,fides,7,-301.9161836621827,ft3
Armistead,fides,8,-301.9161837266264,ft3
Armistead,fides,9,-301.91618364006746,ft3
Armistead,fides,10,-301.9161836417921,ft3
Armistead,BFGS,1,-301.7967451844621,ft3
Armistead,BFGS,2,-301.7600493789116,ft3
Armistead,BFGS,3,-301.7199156782912,ft3
Armistead,BFGS,4,-301.72348540709,ft3
Armistead,BFGS,5,-301.7020217780471,ft3
Armistead,BFGS,6,-301.79593377789536,ft3
Armistead,BFGS,7,-301.82182458659383,ft3
Armistead,BFGS,8,-301.81772781754717,ft3
Armistead,BFGS,9,-301.77261870438423,ft3
Armistead,BFGS,10,-301.8622093041315,ft3
Armistead,dogleg,1,-238.7545127114152,ft3
Armistead,dogleg,2,-235.21419158836227,ft3
Armistead,dogleg,3,-237.1077966360728,ft3
Armistead,dogleg,4,-228.4439864189913,ft3
Armistead,dogleg,5,-227.7426157297423,ft3
Armistead,dogleg,6,-220.443252373669,ft3
Armistead,dogleg,7,-260.85256704712276,ft3
Armistead,dogleg,8,-235.38677629053947,ft3
Armistead,dogleg,9,-229.37670887909167,ft3
Armistead,dogleg,10,-224.22487718184254,ft3
Armistead,ipopt,1,-301.9161713814302,ft3
Armistead,ipopt,2,-301.91617814929407,ft3
Armistead,ipopt,3,-301.91617946291314,ft3
Armistead,ipopt,4,-301.9161779854679,ft3
Armistead,ipopt,5,-301.9161783390094,ft3
Armistead,ipopt,6,-301.9161787834181,ft3
Armistead,ipopt,7,-301.91617693067184,ft3
Armistead,ipopt,8,-301.91617367407656,ft3
Armistead,ipopt,9,-301.91617677258216,ft3
Armistead,ipopt,10,-301.91617829888327,ft3
Armistead,cmaes,1,-301.91618625593674,ft3
Armistead,cmaes,2,-301.9161862400929,ft3
Armistead,cmaes,3,-301.91618630666994,ft3
Armistead,cmaes,4,-301.9161865849603,ft3
Armistead,cmaes,5,-301.9161863903181,ft3
Armistead,cmaes,6,-301.91618655339914,ft3
Armistead,cmaes,7,-301.9161865555652,ft3
Armistead,cmaes,8,-301.9161863765163,ft3
Armistead,cmaes,9,-301.9161865135329,ft3
Armistead,cmaes,10,-301.9161865110523,ft3
Armistead,pyswarm,1,-301.6396192888804,ft3
Armistead,pyswarm,2,-301.41355581374404,ft3
Armistead,pyswarm,3,-301.4529056424276,ft3
Armistead,pyswarm,4,-301.38258524024445,ft3
Armistead,pyswarm,5,-301.3773533551737,ft3
Armistead,pyswarm,6,-301.45572797266993,ft3
Armistead,pyswarm,7,-301.60921154515995,ft3
Armistead,pyswarm,8,-301.18248431759787,ft3
Armistead,pyswarm,9,-301.59568403236653,ft3
Armistead,pyswarm,10,-301.5026906360082,ft3
Armistead,L-BFGS-B,1,-301.9161844220099,ft3
Armistead,L-BFGS-B,2,-301.9161849850277,ft3
Armistead,L-BFGS-B,3,-301.91618488030866,ft3
Armistead,L-BFGS-B,4,-301.91618534821674,ft3
Armistead,L-BFGS-B,5,-301.91618483803967,ft3
Armistead,L-BFGS-B,6,-301.9161848585551,ft3
Armistead,L-BFGS-B,7,-301.9161852044916,ft3
Armistead,L-BFGS-B,8,-301.91618466708644,ft3
Armistead,L-BFGS-B,9,-301.9161852480578,ft3
Armistead,L-BFGS-B,10,-301.91618540002014,ft3
Armistead,Nelder-Mead,1,-301.87750904612966,ft3
Armistead,Nelder-Mead,2,-301.7970342610703,ft3
Armistead,Nelder-Mead,3,-301.879052630663,ft3
Armistead,Nelder-Mead,4,-301.8921814446126,ft3
Armistead,Nelder-Mead,5,-301.72847888708134,ft3
Armistead,Nelder-Mead,6,-301.7965854141646,ft3
Armistead,Nelder-Mead,7,-301.88253932030767,ft3
Armistead,Nelder-Mead,8,-301.90032652232304,ft3
Armistead,Nelder-Mead,9,-301.8178255990787,ft3
Armistead,Nelder-Mead,10,-301.8796047782324,ft3
Armistead,cg,1,-301.81271124906596,ft3
Armistead,cg,2,-301.85726390599655,ft3
Armistead,cg,3,-301.83931418153617,ft3
Armistead,cg,4,-301.83410185030544,ft3
Armistead,cg,5,-301.87213390770336,ft3
Armistead,cg,6,-301.84352624890175,ft3
Armistead,cg,7,-301.830088830577,ft3
Armistead,cg,8,-301.85536154019906,ft3
Armistead,cg,9,-301.8252525361812,ft3
Armistead,cg,10,-301.85427522555017,ft3
Armistead,newton-cg,1,-301.89627860137915,ft3
Armistead,newton-cg,2,-301.8914470447074,ft3
Armistead,newton-cg,3,-301.8842795224181,ft3
Armistead,newton-cg,4,-301.8946539017825,ft3
Armistead,newton-cg,5,-301.88286102420693,ft3
Armistead,newton-cg,6,-301.8949378774673,ft3
Armistead,newton-cg,7,-301.9011914915791,ft3
Armistead,newton-cg,8,-301.8936235305643,ft3
Armistead,newton-cg,9,-301.9018894020806,ft3
Armistead,newton-cg,10,-301.8829285850219,ft3
Armistead,nlopt_11,1,-301.91618424988417,ft3
Armistead,nlopt_11,2,-301.9161839835553,ft3
Armistead,nlopt_11,3,-301.91618408623424,ft3
Armistead,nlopt_11,4,-301.916184024206,ft3
Armistead,nlopt_11,5,-301.9161840013115,ft3
Armistead,nlopt_11,6,-301.91618423754414,ft3
Armistead,nlopt_11,7,-301.91618430335484,ft3
Armistead,nlopt_11,8,-301.9161841643911,ft3
Armistead,nlopt_11,9,-301.91618404836845,ft3
Armistead,nlopt_11,10,-301.91618405687177,ft3
Armistead,nlopt_12,1,-301.9086616852637,ft3
Armistead,nlopt_12,2,-301.90809472337105,ft3
Armistead,nlopt_12,3,-301.90565967566306,ft3
Armistead,nlopt_12,4,-301.9081251743533,ft3
Armistead,nlopt_12,5,-301.9124472974216,ft3
Armistead,nlopt_12,6,-301.897017573698,ft3
Armistead,nlopt_12,7,-301.9119557310595,ft3
Armistead,nlopt_12,8,-301.9051745254083,ft3
Armistead,nlopt_12,9,-301.90565070922383,ft3
Armistead,nlopt_12,10,-301.9105372589896,ft3
Armistead,nlopt_13,1,-301.9161841246576,ft3
Armistead,nlopt_13,2,-301.9161841253745,ft3
Armistead,nlopt_13,3,-301.91618400980104,ft3
Armistead,nlopt_13,4,-301.9161841960274,ft3
Armistead,nlopt_13,5,-301.9161840993816,ft3
Armistead,nlopt_13,6,-301.91618407747796,ft3
Armistead,nlopt_13,7,-301.9161840445984,ft3
Armistead,nlopt_13,8,-301.916184038231,ft3
Armistead,nlopt_13,9,-301.916184079448,ft3
Armistead,nlopt_13,10,-301.9161840870091,ft3
Armistead,nlopt_14,1,-301.916184017863,ft3
Armistead,nlopt_14,2,-301.9161840042501,ft3
Armistead,nlopt_14,3,-301.91618410572954,ft3
Armistead,nlopt_14,4,-301.9161840847813,ft3
Armistead,nlopt_14,5,-301.9161839670648,ft3
Armistead,nlopt_14,6,-301.9161840055126,ft3
Armistead,nlopt_14,7,-301.91618398101434,ft3
Armistead,nlopt_14,8,-301.9161839694008,ft3
Armistead,nlopt_14,9,-301.91618399817435,ft3
Armistead,nlopt_14,10,-301.91618411157503,ft3
Armistead,nlopt_15,1,-301.91617684971317,ft3
Armistead,nlopt_15,2,-301.9161812020278,ft3
Armistead,nlopt_15,3,-301.91617848751923,ft3
Armistead,nlopt_15,4,-301.9161813914168,ft3
Armistead,nlopt_15,5,-301.91618082793076,ft3
Armistead,nlopt_15,6,-301.91617765758235,ft3
Armistead,nlopt_15,7,-301.9161805671313,ft3
Armistead,nlopt_15,8,-301.916181940627,ft3
Armistead,nlopt_15,9,-301.9161790139027,ft3
Armistead,nlopt_15,10,-301.91618336490785,ft3
Armistead,nlopt_16,1,-301.9161828274691,ft3
Armistead,nlopt_16,2,-301.91618330168046,ft3
Armistead,nlopt_16,3,-301.9161808948865,ft3
Armistead,nlopt_16,4,-301.9161828120825,ft3
Armistead,nlopt_16,5,-301.9161819220731,ft3
Armistead,nlopt_16,6,-301.91618190121096,ft3
Armistead,nlopt_16,7,-301.9161818596854,ft3
Armistead,nlopt_16,8,-301.9161831395261,ft3
Armistead,nlopt_16,9,-301.9161807910368,ft3
Armistead,nlopt_16,10,-301.91618364270244,ft3
Armistead,nlopt_18,1,-301.9161837921605,ft3
Armistead,nlopt_18,2,-301.91618387587357,ft3
Armistead,nlopt_18,3,-301.9161837720226,ft3
Armistead,nlopt_18,4,-301.9161837886692,ft3
Armistead,nlopt_18,5,-301.91618375005964,ft3
Armistead,nlopt_18,6,-301.91618382762107,ft3
Armistead,nlopt_18,7,-301.91618378888165,ft3
Armistead,nlopt_18,8,-301.91618378645853,ft3
Armistead,nlopt_18,9,-301.91618372468633,ft3
Armistead,nlopt_18,10,-301.91618381240016,ft3
Armistead,nlopt_21,1,-301.9161832804083,ft3
Armistead,nlopt_21,2,-301.916183145742,ft3
Armistead,nlopt_21,3,-301.91618372596844,ft3
Armistead,nlopt_21,4,-301.91618336876365,ft3
Armistead,nlopt_21,5,-301.9161832152337,ft3
Armistead,nlopt_21,6,-301.9161831316362,ft3
Armistead,nlopt_21,7,-301.9161836364808,ft3
Armistead,nlopt_21,8,-301.9161827727117,ft3
Armistead,nlopt_21,9,-301.9161830440503,ft3
Armistead,nlopt_21,10,-301.9161830670254,ft3
Armistead,nlopt_23,1,-301.91618302270814,ft3
Armistead,nlopt_23,2,-301.91618220412875,ft3
Armistead,nlopt_23,3,-301.9161832115483,ft3
Armistead,nlopt_23,4,-301.9161830238056,ft3
Armistead,nlopt_23,5,-301.91618290599865,ft3
Armistead,nlopt_23,6,-301.9161834853986,ft3
Armistead,nlopt_23,7,-301.9161822786426,ft3
Armistead,nlopt_23,8,-301.9161812651745,ft3
Armistead,nlopt_23,9,-301.91618319499497,ft3
Armistead,nlopt_23,10,-301.9161822387074,ft3
Armistead,nlopt_26,1,-301.84042737472976,ft3
Armistead,nlopt_26,2,-301.8242320234513,ft3
Armistead,nlopt_26,3,-301.7550566428049,ft3
Armistead,nlopt_26,4,-301.8576077071436,ft3
Armistead,nlopt_26,5,-301.8367463245229,ft3
Armistead,nlopt_26,6,-301.8050548856646,ft3
Armistead,nlopt_26,7,-301.84266497211706,ft3
Armistead,nlopt_26,8,-301.8355092497394,ft3
Armistead,nlopt_26,9,-301.845740631289,ft3
Armistead,nlopt_26,10,-301.82051046610525,ft3
Armistead,nlopt_28,1,-301.9161668992649,ft3
Armistead,nlopt_28,2,-301.91616871933115,ft3
Armistead,nlopt_28,3,-301.91616832474693,ft3
Armistead,nlopt_28,4,-301.91614507486395,ft3
Armistead,nlopt_28,5,-301.9161481998095,ft3
Armistead,nlopt_28,6,-301.9161740280707,ft3
Armistead,nlopt_28,7,-301.91613824885434,ft3
Armistead,nlopt_28,8,-301.9160813938363,ft3
Armistead,nlopt_28,9,-301.91608663485135,ft3
Armistead,nlopt_28,10,-301.9161242871952,ft3
Armistead,nlopt_29,1,-301.91618409280966,ft3
Armistead,nlopt_29,2,-301.9161835412442,ft3
Armistead,nlopt_29,3,-301.9161840344093,ft3
Armistead,nlopt_29,4,-301.9161834549672,ft3
Armistead,nlopt_29,5,-301.91618384275034,ft3
Armistead,nlopt_29,6,-301.916183869925,ft3
Armistead,nlopt_29,7,-301.91618597189085,ft3
Armistead,nlopt_29,8,-301.91618493020155,ft3
Armistead,nlopt_29,9,-301.91618395503133,ft3
Armistead,nlopt_29,10,-301.91618526574496,ft3
Armistead,nlopt_34,1,-301.91614657489816,ft3
Armistead,nlopt_34,2,-301.9161437495093,ft3
Armistead,nlopt_34,3,-301.9161742030297,ft3
Armistead,nlopt_34,4,-301.9161336577651,ft3
Armistead,nlopt_34,5,-301.91614430585963,ft3
Armistead,nlopt_34,6,-301.9161573861033,ft3
Armistead,nlopt_34,7,-301.91616913577116,ft3
Armistead,nlopt_34,8,-301.9161511513221,ft3
Armistead,nlopt_34,9,-301.91615591564954,ft3
Armistead,nlopt_34,10,-301.9161496530422,ft3
Armistead,nlopt_36,1,-301.91618458052653,ft3
Armistead,nlopt_36,2,-301.916184113753,ft3
Armistead,nlopt_36,3,-301.916183982953,ft3
Armistead,nlopt_36,4,-301.9161843643127,ft3
Armistead,nlopt_36,5,-301.9161842423788,ft3
Armistead,nlopt_36,6,-301.91618404358877,ft3
Armistead,nlopt_36,7,-301.9161841259055,ft3
Armistead,nlopt_36,8,-301.9161839680884,ft3
Armistead,nlopt_36,9,-301.91618403359143,ft3
Armistead,nlopt_36,10,-301.91618537378315,ft3
Armistead,nlopt_37,1,-301.9161848972709,ft3
Armistead,nlopt_37,2,-301.91618505073734,ft3
Armistead,nlopt_37,3,-301.9161840681797,ft3
Armistead,nlopt_37,4,-301.91618466326656,ft3
Armistead,nlopt_37,5,-301.916184154212,ft3
Armistead,nlopt_37,6,-301.9161842774367,ft3
Armistead,nlopt_37,7,-301.916184330389,ft3
Armistead,nlopt_37,8,-301.9161841253416,ft3
Armistead,nlopt_37,9,-301.91618407853514,ft3
Armistead,nlopt_37,10,-301.9161839880743,ft3
Armistead,nlopt_39,1,-301.9161833358286,ft3
Armistead,nlopt_39,2,-301.9161830546417,ft3
Armistead,nlopt_39,3,-301.91618307040164,ft3
Armistead,nlopt_39,4,-301.9161822344629,ft3
Armistead,nlopt_39,5,-301.91618330717495,ft3
Armistead,nlopt_39,6,-301.9161831525246,ft3
Armistead,nlopt_39,7,-301.9161816534746,ft3
