problem,optimizer,run_idx,fx_best,site
Armistead,ipopt,6,-301.91618136793875,marvin
Armistead,cmaes,3,-301.916186565731,marvin
Armistead,ipopt,2,-301.916176793672,marvin
Armistead,ipopt,4,-301.91618091241344,marvin
Armistead,cmaes,4,-301.91618671737507,marvin
Armistead,cmaes,8,-301.9161865166826,marvin
Armistead,ipopt,5,-301.91618061409633,marvin
Armistead,cmaes,9,-301.9161864701725,marvin
Armistead,ipopt,7,-301.91617630832457,marvin
Armistead,ipopt,3,-301.9161763641265,marvin
Armistead,cmaes,7,-301.91618668852726,marvin
Armistead,ipopt,1,-301.91617516029356,marvin
Armistead,cmaes,5,-301.9161873420431,marvin
Armistead,ipopt,9,-301.91617899572736,marvin
Armistead,cmaes,10,-301.9161866284794,marvin
Armistead,ipopt,10,-301.9161789550227,marvin
Armistead,cmaes,1,-301.9161871959367,marvin
Armistead,cmaes,6,-301.91618650966416,marvin
Armistead,cg,9,-301.84314672525085,marvin
Armistead,cmaes,2,-301.91618781460875,marvin
Armistead,ipopt,8,-301.9161738564528,marvin
Armistead,cg,8,-301.86904463294604,marvin
Armistead,cg,1,-301.844495876304,marvin
Armistead,cg,5,-301.82770582693644,marvin
Armistead,cg,7,-301.84894234531185,marvin
Armistead,cg,10,-301.88258045696784,marvin
Armistead,cg,6,-301.83045872526264,marvin
Armistead,cg,4,-301.8724109387371,marvin
Armistead,cg,3,-301.8327655854198,marvin
Armistead,Nelder-Mead,5,-301.8601880185812,marvin
Armistead,Nelder-Mead,8,-301.89298462366526,marvin
Armistead,L-BFGS-B,3,-301.9161854957132,marvin
Armistead,Nelder-Mead,9,-301.8668408424318,marvin
Armistead,cg,2,-301.8420666382924,marvin
Armistead,L-BFGS-B,8,-301.9161853140181,marvin
Armistead,Nelder-Mead,10,-301.85560108909317,marvin
Armistead,Nelder-Mead,1,-301.89974483107426,marvin
Armistead,L-BFGS-B,10,-301.91618532976787,marvin
Armistead,Nelder-Mead,7,-301.8904884729434,marvin
Armistead,L-BFGS-B,5,-301.91618533948804,marvin
