problem,optimizer,run_idx,timepoint_fraction,fval
Armistead,BFGS,1,0.001,-284.6025309529839
Armistead,BFGS,1,0.01,-301.3104761850723
Armistead,BFGS,1,0.1,-301.59527318863843
Armistead,BFGS,1,0.5,-301.71448671332587
Armistead,BFGS,1,1.0,-301.75693141240777
Armistead,BFGS,2,0.001,-295.91809199877537
Armistead,BFGS,2,0.01,-301.3944439415486
Armistead,BFGS,2,0.1,-301.8005073655771
Armistead,BFGS,2,0.5,-301.8005073655771
Armistead,BFGS,2,1.0,-301.8005073655771
Armistead,BFGS,3,0.001,-281.0190480605916
Armistead,BFGS,3,0.01,-300.26086341311935
Armistead,BFGS,3,0.1,-301.56462298404824
Armistead,BFGS,3,0.5,-301.72016026130524
Armistead,BFGS,3,1.0,-301.77642208913244
Armistead,BFGS,4,0.001,-291.5473642616608
Armistead,BFGS,4,0.01,-301.75316965611705
Armistead,BFGS,4,0.1,-301.75316965611705
Armistead,BFGS,4,0.5,-301.7819995118071
Armistead,BFGS,4,1.0,-301.7819995118071
Armistead,BFGS,5,0.001,-300.1139674469125
Armistead,BFGS,5,0.01,-300.9128756664173
Armistead,BFGS,5,0.1,-301.4455350698465
Armistead,BFGS,5,0.5,-301.6815405609448
Armistead,BFGS,5,1.0,-301.7850481940901
Armistead,BFGS,6,0.001,-290.0533126982891
Armistead,BFGS,6,0.01,-300.7459710219582
Armistead,BFGS,6,0.1,-301.49019341292933
Armistead,BFGS,6,0.5,-301.78575706853394
Armistead,BFGS,6,1.0,-301.78575706853394
Armistead,BFGS,7,0.001,-300.12700940945683
Armistead,BFGS,7,0.01,-301.18715686209777
Armistead,BFGS,7,0.1,-301.6091662658655
Armistead,BFGS,7,0.5,-301.8047571715233
Armistead,BFGS,7,1.0,-301.8047571715233
Armistead,BFGS,8,0.001,-289.7818030746404
Armistead,BFGS,8,0.01,-301.4042591235641
Armistead,BFGS,8,0.1,-301.80570183799495
Armistead,BFGS,8,0.5,-301.80570183799495
Armistead,BFGS,8,1.0,-301.80570183799495
Armistead,BFGS,9,0.001,-286.3565944603966
Armistead,BFGS,9,0.01,-300.80015014168794
Armistead,BFGS,9,0.1,-301.8162555065294
Armistead,BFGS,9,0.5,-301.8162555065294
Armistead,BFGS,9,1.0,-301.8162555065294
Armistead,BFGS,10,0.001,-300.29351740928394
Armistead,BFGS,10,0.01,-301.31996123247984
Armistead,BFGS,10,0.1,-301.56823565056374
Armistead,BFGS,10,0.5,-301.76604937458717
Armistead,BFGS,10,1.0,-301.76604937458717
Armistead,COBYLA,1,0.001,-297.355537876208
Armistead,COBYLA,1,0.01,-301.57517554436066
Armistead,COBYLA,1,0.1,-301.6722612882619
Armistead,COBYLA,1,0.5,-301.72917633902387
Armistead,COBYLA,1,1.0,-301.79058655978156
Armistead,COBYLA,2,0.001,-301.53047475404145
Armistead,COBYLA,2,0.01,-301.53047475404145
Armistead,COBYLA,2,0.1,-301.53047475404145
Armistead,COBYLA,2,0.5,-301.8223169192132
Armistead,COBYLA,2,1.0,-301.8223169192132
Armistead,COBYLA,3,0.001,-301.3733220469123
Armistead,COBYLA,3,0.01,-301.7235529364884
Armistead,COBYLA,3,0.1,-301.7235529364884
Armistead,COBYLA,3,0.5,-301.7235529364884
Armistead,COBYLA,3,1.0,-301.84390920263365
Armistead,COBYLA,4,0.001,-300.32232843165195
Armistead,COBYLA,4,0.01,-300.78462776737007
Armistead,COBYLA,4,0.1,-301.7038861777487
Armistead,COBYLA,4,0.5,-301.78524266593183
Armistead,COBYLA,4,1.0,-301.8428452548171
Armistead,COBYLA,5,0.001,-295.78263854658496
Armistead,COBYLA,5,0.01,-301.8563990242768
Armistead,COBYLA,5,0.1,-301.8563990242768
Armistead,COBYLA,5,0.5,-301.8563990242768
Armistead,COBYLA,5,1.0,-301.8563990242768
Armistead,COBYLA,6,0.001,-300.6595155037696
Armistead,COBYLA,6,0.01,-301.3227779166218
Armistead,COBYLA,6,0.1,-301.6589299945023
Armistead,COBYLA,6,0.5,-301.8099519839807
Armistead,COBYLA,6,1.0,-301.8728792341005
Armistead,COBYLA,7,0.001,-299.5987730180748
Armistead,COBYLA,7,0.01,-301.45810634919826
Armistead,COBYLA,7,0.1,-301.59679681237327
Armistead,COBYLA,7,0.5,-301.8237927503551
Armistead,COBYLA,7,1.0,-301.8237927503551
Armistead,COBYLA,8,0.001,-296.9959721849055
Armistead,COBYLA,8,0.01,-301.614341594528
Armistead,COBYLA,8,0.1,-301.614341594528
Armistead,COBYLA,8,0.5,-301.74736637847207
Armistead,COBYLA,8,1.0,-301.8935305200188
Armistead,COBYLA,9,0.001,-298.6087251676671
Armistead,COBYLA,9,0.01,-301.2166386615959
Armistead,COBYLA,9,0.1,-301.55104784289495
Armistead,COBYLA,9,0.5,-301.8251843957367
Armistead,COBYLA,9,1.0,-301.8302475336585
Armistead,COBYLA,10,0.001,-301.66445393527215
Armistead,COBYLA,10,0.01,-301.66445393527215
Armistead,COBYLA,10,0.1,-301.66445393527215
Armistead,COBYLA,10,0.5,-301.8435262836236
Armistead,COBYLA,10,1.0,-301.8692062940603
Armistead,L-BFGS-B,1,0.001,-301.91618187800907
Armistead,L-BFGS-B,1,0.01,-301.9161834576838
Armistead,L-BFGS-B,1,0.1,-301.91618541074956
Armistead,L-BFGS-B,1,0.5,-301.91618541074956
Armistead,L-BFGS-B,1,1.0,-301.91618606473963
Armistead,L-BFGS-B,2,0.001,-301.91592606863594
Armistead,L-BFGS-B,2,0.01,-301.9161833446958
Armistead,L-BFGS-B,2,0.1,-301.9161845319873
Armistead,L-BFGS-B,2,0.5,-301.916185554652
Armistead,L-BFGS-B,2,1.0,-301.91618590238335
Armistead,L-BFGS-B,3,0.001,-301.9161669214642
Armistead,L-BFGS-B,3,0.01,-301.91618380756245
Armistead,L-BFGS-B,3,0.1,-301.91618495618275
Armistead,L-BFGS-B,3,0.5,-301.9161852224157
Armistead,L-BFGS-B,3,1.0,-301.9161854957132
Armistead,L-BFGS-B,4,0.001,-301.91599887493294
Armistead,L-BFGS-B,4,0.01,-301.9161836164675
Armistead,L-BFGS-B,4,0.1,-301.916184839774
Armistead,L-BFGS-B,4,0.5,-301.9161853077499
Armistead,L-BFGS-B,4,1.0,-301.91618558774553
Armistead,L-BFGS-B,5,0.001,-301.91618222915514
Armistead,L-BFGS-B,5,0.01,-301.9161837158174
Armistead,L-BFGS-B,5,0.1,-301.91618515517746
Armistead,L-BFGS-B,5,0.5,-301.91618515517746
Armistead,L-BFGS-B,5,1.0,-301.91618533948804
Armistead,L-BFGS-B,6,0.001,-301.9161843788125
Armistead,L-BFGS-B,6,0.01,-301.9161843788125
Armistead,L-BFGS-B,6,0.1,-301.9161851867609
Armistead,L-BFGS-B,6,0.5,-301.9161851867609
Armistead,L-BFGS-B,6,1.0,-301.91618567149067
Armistead,L-BFGS-B,7,0.001,-301.91618146715814
Armistead,L-BFGS-B,7,0.01,-301.91618317571806
Armistead,L-BFGS-B,7,0.1,-301.91618523176277
Armistead,L-BFGS-B,7,0.5,-301.91618524760577
Armistead,L-BFGS-B,7,1.0,-301.91618524760577
Armistead,L-BFGS-B,8,0.001,-301.91618408677215
Armistead,L-BFGS-B,8,0.01,-301.91618408677215
Armistead,L-BFGS-B,8,0.1,-301.9161846541452
Armistead,L-BFGS-B,8,0.5,-301.9161853140181
Armistead,L-BFGS-B,8,1.0,-301.9161853140181
Armistead,L-BFGS-B,9,0.001,-301.9150561297357
Armistead,L-BFGS-B,9,0.01,-301.9161836893335
Armistead,L-BFGS-B,9,0.1,-301.9161853601822
Armistead,L-BFGS-B,9,0.5,-301.9161854738679
Armistead,L-BFGS-B,9,1.0,-301.9161854738679
Armistead,L-BFGS-B,10,0.001,-301.9153498964161
Armistead,L-BFGS-B,10,0.01,-301.9161845119415
Armistead,L-BFGS-B,10,0.1,-301.9161845119415
Armistead,L-BFGS-B,10,0.5,-301.91618532976787
Armistead,L-BFGS-B,10,1.0,-301.91618532976787
Armistead,Nelder-Mead,1,0.001,-296.485546888235
Armistead,Nelder-Mead,1,0.01,-301.3731800192277
Armistead,Nelder-Mead,1,0.1,-301.6870758417508
Armistead,Nelder-Mead,1,0.5,-301.7689366417546
Armistead,Nelder-Mead,1,1.0,-301.89974483107426
Armistead,Nelder-Mead,2,0.001,-296.1099767543563
Armistead,Nelder-Mead,2,0.01,-301.5183989331165
Armistead,Nelder-Mead,2,0.1,-301.73041600685934
Armistead,Nelder-Mead,2,0.5,-301.8554775550193
Armistead,Nelder-Mead,2,1.0,-301.88422289704073
Armistead,Nelder-Mead,3,0.001,-282.70756731155376
Armistead,Nelder-Mead,3,0.01,-301.5538551370099
Armistead,Nelder-Mead,3,0.1,-301.72934722520694
Armistead,Nelder-Mead,3,0.5,-301.84452325114944
Armistead,Nelder-Mead,3,1.0,-301.84452325114944
Armistead,Nelder-Mead,4,0.001,-295.6736031926158
Armistead,Nelder-Mead,4,0.01,-301.12065531110625
Armistead,Nelder-Mead,4,0.1,-301.70985984113327
Armistead,Nelder-Mead,4,0.5,-301.8748961845911
Armistead,Nelder-Mead,4,1.0,-301.8748961845911
Armistead,Nelder-Mead,5,0.001,-289.4403214623855
Armistead,Nelder-Mead,5,0.01,-300.7402281910263
Armistead,Nelder-Mead,5,0.1,-301.7464668150918
Armistead,Nelder-Mead,5,0.5,-301.78510615586674
Armistead,Nelder-Mead,5,1.0,-301.8601880185812
Armistead,Nelder-Mead,6,0.001,-282.74053576353595
Armistead,Nelder-Mead,6,0.01,-301.53666718547686
Armistead,Nelder-Mead,6,0.1,-301.749339054751
Armistead,Nelder-Mead,6,0.5,-301.79065607780353
Armistead,Nelder-Mead,6,1.0,-301.79065607780353
Armistead,Nelder-Mead,7,0.001,-295.2915894678484
Armistead,Nelder-Mead,7,0.01,-301.59448375117466
Armistead,Nelder-Mead,7,0.1,-301.6631130560073
Armistead,Nelder-Mead,7,0.5,-301.8904884729434
Armistead,Nelder-Mead,7,1.0,-301.8904884729434
Armistead,Nelder-Mead,8,0.001,-298.1942443223493
Armistead,Nelder-Mead,8,0.01,-301.2847382143045
Armistead,Nelder-Mead,8,0.1,-301.7412359980675
Armistead,Nelder-Mead,8,0.5,-301.89298462366526
Armistead,Nelder-Mead,8,1.0,-301.89298462366526
Armistead,Nelder-Mead,9,0.001,-291.38595283586153
Armistead,Nelder-Mead,9,0.01,-299.5114937177234
Armistead,Nelder-Mead,9,0.1,-301.6047836320717
Armistead,Nelder-Mead,9,0.5,-301.8651789822828
